candidate,text,tweet_id
Trump,The Fake News doesn’t want to report these numbers. The @latimes and others believed the Crooked Dems before the re… https://t.co/EEg8ep1lQR,1299681573713960960
Trump,"I saved the Iron Range from the Obama Closure. We opened it up again, proudly. Also sent the National Guard the Min… https://t.co/bfEy6am4Dz",1299688064969854977
Trump,U.S. planning to cut military presence in Iraq - https://t.co/d1MGNQ2QsA,1299899241360510978
Trump,https://t.co/QawXAxElm6,1300562958301442050
Trump,https://t.co/3iM1oRDEgy,1300562884896927745
Trump,https://t.co/AvB1aWyrSM,1300621018361475072
Trump,"My son, Donald, just wrote a really important new book, “Liberal Privilege”, talking, with great knowledge, of our… https://t.co/RSNxINTWM2",1300630744759500807
Trump,"This is the NEW and very sick Democrat Party. We will win on November 3rd, and MAKE AMERICA GREAT AGAIN! https://t.co/7svcF76kvc",1301095272039186432
Trump,Jennifer Griffin of Fox News Did Not Confirm ‘Most Salacious‘ Part of Atlantic Story https://t.co/rUpbSWhHac via… https://t.co/FtbF8NcQGe,1302083885384249344
Trump,Trump Orders Purge of ‘Critical Race Theory‘ from Federal Agencies https://t.co/ygXcTXRHsQ via @BreitbartNews  This… https://t.co/0QaQyPmurV,1302212909808971776
Trump,https://t.co/P8bokc3wEU,1302310439993434119
Trump,Steve Jobs would not be happy that his wife is wasting  money he left her on a failing Radical Left Magazine that i… https://t.co/QtQT1JluRo,1302559362771292160
Trump,"Biden Underperforming! @OANN What else is new, the story of his life.",1302969740374298624
Trump,"Exclusive: Zach Fuentes, Top Aide to John Kelly, Denies Atlantic Story About Trump https://t.co/RXrpKhdPb1 via… https://t.co/wlRvOG2BrN",1303012637064802306
Trump,"This guy is given the answer to questions, which he reads from his teleprompter. Is Donna  involved in this scam? C… https://t.co/cX6a9YD4lB",1303147729049325568
Trump,Congratulations Erica. Fantastic WIN! https://t.co/WAHIg0VnEv,1303144381059399680
Trump,Thanks Curt. Great pitcher!!! https://t.co/pMq197KahK,1303293439296053249
Trump,https://t.co/9K5W3tOayt,1311114383603376128
Trump,I did more in 47 months as President than Sleepy Joe Biden did in 47 years! #MAGA https://t.co/EzcAswmrYE,1305002222434963456
Trump,Thank you Franklin! https://t.co/ZwpwcS2k2B,1295067517283598336
Trump,Wow! https://t.co/vw0uZPuHXZ,1286985175075827712
Trump,“EPA: One Trillion Trees Initiative will build on President Donald Trump’s commitment” https://t.co/qQZqgqUrSK,1311130217348345856
Trump,Vote these people out. They are CRAZY!  #2020 https://t.co/ktRw2pJUFa,1288433749156388864
Trump,What’s with @CNN POLLS increasing me by 10 points in a short period of time. Maybe they want to take over from @FoxNews!,1295407324086128641
Trump,A great Scam against our Country! https://t.co/lVSgDxqBNp,1309617040068620295
Trump,"All that time and money spent, and it turns out that the Mueller Investigation was a total SCAM!",1304879424920190977
Trump,OBAMAGATE makes Watergate look small time!,1259849944216846337
Trump,Might as well mention this because it will never be reported by the Lamestream Media!,1310789161948008449
Trump,Voter Scam! https://t.co/BY6SEJfUZh,1294731865459437571
Trump,"Department of Education is looking at this. If so, they will not be funded! https://t.co/dHsw6Y6Y3M",1302586046551597061
Trump,".@seanhannity will be talking about the big North Carolina Rally tonight. Great crowd! Also, congratulations to Sea… https://t.co/WYp8oZMcFI",1303496842735312898
Trump,A FAKE story made up by the Democrats in order to save Biden’s failing campaign. Thanks Zach! https://t.co/557p906pGL,1303562581643350021
Trump,"This is totally illegal. Hope that the U.S. Attorney in Minnesota has this, and other of her many misdeeds, under s… https://t.co/xKrRfLkmz8",1310435345704652800
Trump,"Congressman Greg Gianforte (@GregForMontana) will be a tremendous Governor of Montana! A successful Businessman, he… https://t.co/1FOXl0nLFT",1308870836821135360
Trump,"Congressman @DrPaulGosar is a tremendous supporter of our #MAGA agenda! He is Strong on the Wall, Law Enforcement a… https://t.co/FZsBaGH6bQ",1279161110336278531
Trump,https://t.co/QO66XieSfR,1302451495825276931
Trump,Rigged Election! https://t.co/agmPI8kkRV,1303298601708392448
Trump,"HISTORIC day for PEACE in the Middle East — I am welcoming leaders from Israel, the United Arab Emirates, and the K… https://t.co/lAfJosOizB",1305900664971763712
Trump,She was fired because she was boring and never had what it took. Perhaps that has proven to be a mistake! https://t.co/48ieqGcHt2,1295507087166857216
Trump,"Based on the strong recommendation of @SenDanSullivan and @repdonyoung of the Great State of Alaska, it is my honor… https://t.co/RjEQiA8Q3C",1309708250124873728
Trump,"Great WIN Anna! Watched your race from beginning, very impressed. Your next opponent, Charlie Crist, is a Pelosi pu… https://t.co/1Z1PAxWSzN",1295920309946777600
Trump,Bill is GREAT! https://t.co/GUKijatlaZ,1299684210094071809
Trump,Congratulations Matt @Mowers! https://t.co/zvQatCFYk2,1303732514440257540
Trump,"Tonight, @FLOTUS and I tested positive for COVID-19. We will begin our quarantine and recovery process immediately.… https://t.co/CIIB2LDQtr",1311892190680014849
Biden,"Tonight, @BarackObama, @KamalaHarris, and @MichaelB4Jordan are hosting a grassroots fundraiser to discuss what's at… https://t.co/Rzq0RlgnWO",1312107582975209474
Trump,https://t.co/B4H105KVSs,1312158400352972800
Trump,"Volunteer to be a Trump Election Poll Watcher. Sign up today! #MakeAmericaGreatAgain 
https://t.co/8m0dNPTtt6",1311131311965306885
Trump,"A vote for Republicans is a vote for safe communities, great jobs, and a limitless future for ALL Americans. Instea… https://t.co/KIR4b6nAKN",1304243263445118976
Trump,CONGRATULATIONS! #MAGA https://t.co/hlt8Mfw1C3,1304914676786970626
Trump,WOW — THANK YOU! #MAGA https://t.co/sj87HGIX00,1304920644165881856
Trump,"Beautiful evening in Henderson, Nevada with Great American Patriots. Thank you! #MAGA https://t.co/vffiSZ9tzP",1305358914951630848
Trump,"Volunteer to be a Trump Election Poll Watcher. Sign up today!
#MakeAmericaGreatAgain
https://t.co/fLSUlk41k0",1306704659277635587
Trump,THANK YOU! #MAGA https://t.co/F9jn2gNMBl,1307050612404740099
Trump,Buy Lou’s GREAT New Book! https://t.co/ygULzrgE0Y,1307661614443892736
Trump,"Heading to the Great State of OHIO, will be there soon! #MAGA https://t.co/PawzHeeYbO",1308142618996625414
Trump,"I was honored to be back in the Commonwealth of Pennsylvania with thousands of loyal, hardworking American Patriots… https://t.co/1WY44sGaDL",1308576926458544129
Trump,Our GREAT RALLY tonight in Pennsylvania. Tremendous energy! #MAGA https://t.co/kL29rJe6sh,1308594096005697541
Biden,We have to come together. https://t.co/P8SkE6vkX1,1312215292655927296
Biden,"Donald Trump knew.

He lied to us for months.

And while a deadly disease ripped through our nation, he failed to d… https://t.co/WDnSr2nZZe",1303756807895220226
Trump,"Today, it was my great honor to nominate one of our nation’s most brilliant and gifted legal minds to the Supreme C… https://t.co/vXpA0vi2uo",1310036242470514689
Biden,"The hard truth is this pandemic didn’t have to be this bad. Ron Klain, former White House Ebola Response Coordinato… https://t.co/DZ0Yf7Lw0n",1287764429703188482
Trump,https://t.co/5d45jekGfc,1311119554014187520
Trump,https://t.co/FpWDpppwqa,1303019933622767617
Trump,Winners All! https://t.co/2R5qutk0W8,1303144859927293956
Trump,President Obama has a personal responsibility to visit &amp; embrace all people in the US who contract Ebola!,522394479429689344
Trump,How incompetent are our leaders allowing these Ebola infected people to come into our country with all of the problems and danger entailed!,517807091067932672
Biden,Donald Trump’s ego will cost lives. https://t.co/JNcGny13KO,1244049631886970881
Biden,"Thank you, Grand Rapids, for a great afternoon. From the virus to the economy, we face immense challenges as a nati… https://t.co/zvwRqKud9I",1312206233038974976
Trump,https://t.co/Z7SP1ymBfT,1298117373464137728
Trump,https://t.co/D3gmYHFvjA,1298439261008601101
